                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.38118,                0.36756,                 1.4202,                 0.7804,                0.51996,                0.84841,                0.68417,                0.63168,                0.51996,                0.84841,                0.68417,                0.58758,                0.36003,                      0,                 3.2454,                0.51573,             0.00047015,             0.00047015,             0.00047015
                     68,                0.38229,                0.37806,                 1.4315,                0.77858,                0.58504,                0.86292,                0.78444,                0.71551,                0.58504,                0.86292,                0.78444,                0.68586,                 0.3516,                      0,                 2.8555,                0.51651,             0.00046465,             0.00046465,             0.00046465
                     69,                0.37285,                0.40147,                 1.3899,                0.77804,                0.59371,                0.90937,                0.79677,                0.73767,                0.59371,                0.90937,                0.79677,                0.68071,                0.34587,                      0,                 2.8388,                0.51558,             0.00045915,             0.00045915,             0.00045915
                     70,                0.38646,                0.36599,                 1.4304,                0.78289,                0.61005,                0.80136,                 0.7549,                0.68704,                0.61005,                0.80136,                 0.7549,                 0.6424,                0.36794,                      0,                 2.9162,                0.51515,             0.00045365,             0.00045365,             0.00045365
                     71,                0.38647,                0.38153,                 1.4508,                0.78145,                 0.6634,                0.83789,                0.76686,                 0.7031,                 0.6634,                0.83789,                0.76686,                0.67299,                0.35033,                      0,                 2.8158,                0.51551,             0.00044815,             0.00044815,             0.00044815
                     72,                0.37096,                0.38437,                 1.3742,                0.78362,                0.63255,                0.81236,                0.76535,                0.71705,                0.63255,                0.81236,                0.76535,                0.65863,                0.33112,                      0,                 2.8178,                0.51717,             0.00044266,             0.00044266,             0.00044266
                     73,                0.37951,                0.38028,                 1.3871,                0.77763,                0.52387,                0.85775,                 0.7277,                 0.6799,                0.52387,                0.85775,                 0.7277,                0.63267,                0.32991,                      0,                 2.9431,                0.51628,             0.00043716,             0.00043716,             0.00043716
                     74,                0.38153,                0.36136,                 1.3498,                0.77887,                0.65586,                0.81172,                0.79119,                0.73533,                0.65586,                0.81172,                0.79119,                0.68541,                0.32916,                      0,                 2.8056,                0.51621,             0.00043166,             0.00043166,             0.00043166
                     75,                0.35918,                0.37272,                 1.3876,                0.78312,                0.69229,                0.83191,                0.80423,                0.75306,                0.69229,                0.83191,                0.80423,                0.69459,                0.32048,                      0,                 2.7856,                0.51622,             0.00042616,             0.00042616,             0.00042616
                     76,                0.35204,                0.36189,                 1.3374,                0.78268,                0.64294,                0.82929,                 0.8028,                0.75017,                0.64294,                0.82929,                 0.8028,                0.69822,                0.31933,                      0,                 2.8278,                0.51568,             0.00042066,             0.00042066,             0.00042066
                     77,                0.36225,                0.36903,                  1.323,                 0.7794,                0.70741,                0.79245,                0.79175,                0.73691,                0.70741,                0.79245,                0.79175,                0.68307,                0.31761,                      0,                 2.8006,                0.51531,             0.00041517,             0.00041517,             0.00041517
                     78,                 0.3591,                0.37461,                 1.3516,                0.77787,                0.64142,                0.83002,                0.80709,                0.75249,                0.64142,                0.83002,                0.80709,                0.70165,                0.32007,                      0,                 2.7249,                0.51557,             0.00040967,             0.00040967,             0.00040967
                     79,                 0.3652,                0.39167,                 1.3628,                 0.7814,                 0.6498,                0.82224,                0.80214,                0.75465,                 0.6498,                0.82224,                0.80214,                0.69232,                0.33559,                      0,                 2.6972,                0.51562,             0.00040417,             0.00040417,             0.00040417
                     80,                0.36483,                 0.3842,                 1.3845,                 0.7838,                0.64438,                0.80778,                0.81096,                0.75392,                0.64438,                0.80778,                0.81096,                0.70264,                0.33703,                      0,                 2.7206,                0.51598,             0.00039867,             0.00039867,             0.00039867
                     81,                 0.3836,                0.38544,                 1.3571,                0.78202,                0.66989,                0.80267,                0.80332,                0.75196,                0.66989,                0.80267,                0.80332,                0.69125,                0.35215,                      0,                 2.6796,                0.51662,             0.00039318,             0.00039318,             0.00039318
                     82,                0.37208,                0.41092,                 1.3461,                0.78309,                0.72153,                0.77388,                0.81773,                0.76409,                0.72153,                0.77388,                0.81773,                0.71176,                0.33477,                      0,                 2.6797,                0.51566,             0.00038768,             0.00038768,             0.00038768
                     83,                 0.3879,                0.39444,                 1.3591,                0.78252,                0.72397,                0.83438,                0.84411,                0.77596,                0.72397,                0.83438,                0.84411,                0.73678,                0.35526,                      0,                  2.686,                0.51696,             0.00038218,             0.00038218,             0.00038218
                     84,                0.38156,                0.37535,                 1.3449,                0.77981,                0.70991,                0.83001,                0.83027,                0.76848,                0.70991,                0.83001,                0.83027,                0.73091,                0.33907,                      0,                 2.7005,                0.51702,             0.00037668,             0.00037668,             0.00037668
                     85,                0.35025,                0.36839,                 1.2874,                0.78121,                0.68369,                0.79918,                0.83081,                 0.7804,                0.68369,                0.79918,                0.83081,                0.72878,                0.32794,                      0,                 2.7038,                0.51715,             0.00037118,             0.00037118,             0.00037118
                     86,                0.37801,                0.37845,                 1.2987,                0.77581,                0.69476,                0.85007,                0.83883,                0.77998,                0.69476,                0.85007,                0.83883,                0.73842,                0.34066,                      0,                 2.6613,                0.51772,             0.00036569,             0.00036569,             0.00036569
                     87,                0.35465,                0.38419,                 1.3029,                0.78319,                0.72996,                0.83681,                0.83694,                  0.792,                0.72996,                0.83681,                0.83694,                0.73454,                0.32095,                      0,                 2.6364,                0.51747,             0.00036019,             0.00036019,             0.00036019
                     88,                 0.3513,                0.41313,                 1.2433,                0.77787,                  0.701,                0.84582,                0.82977,                0.78775,                  0.701,                0.84582,                0.82977,                0.71258,                0.32095,                      0,                 2.6541,                0.51616,             0.00035469,             0.00035469,             0.00035469
                     89,                0.34831,                0.40103,                 1.2491,                0.78095,                0.71642,                0.81653,                0.81718,                0.77978,                0.71642,                0.81653,                0.81718,                0.71222,                0.31872,                      0,                 2.6574,                0.51595,             0.00034919,             0.00034919,             0.00034919
                     90,                0.35183,                 0.3962,                 1.2916,                0.77885,                0.72269,                0.84555,                0.85038,                0.80191,                0.72269,                0.84555,                0.85038,                0.73915,                0.31072,                      0,                 2.5671,                0.51712,              0.0003437,              0.0003437,              0.0003437
                     91,                0.35279,                0.37849,                 1.2641,                0.77819,                0.66748,                0.88449,                0.83973,                0.79529,                0.66748,                0.88449,                0.83973,                0.72127,                0.31136,                      0,                 2.6961,                 0.5166,              0.0003382,              0.0003382,              0.0003382
                     92,                0.35085,                0.38756,                 1.2619,                0.78127,                0.70384,                0.82707,                0.85307,                0.79761,                0.70384,                0.82707,                0.85307,                 0.7446,                0.31784,                      0,                 2.6596,                0.51691,              0.0003327,              0.0003327,              0.0003327
                     93,                0.34286,                0.36856,                 1.2561,                0.78398,                0.73629,                0.80587,                0.84182,                0.79546,                0.73629,                0.80587,                0.84182,                0.72486,                0.30666,                      0,                 2.6766,                0.51688,              0.0003272,              0.0003272,              0.0003272
                     94,                0.34944,                0.38374,                 1.2743,                0.77475,                0.73355,                0.86815,                0.85893,                0.80876,                0.73355,                0.86815,                0.85893,                0.73679,                0.30741,                      0,                 2.6421,                0.51664,              0.0003217,              0.0003217,              0.0003217
                     95,                0.35261,                0.38966,                 1.2385,                0.77892,                0.76697,                0.84061,                 0.8717,                0.82072,                0.76697,                0.84061,                 0.8717,                0.76583,                0.31277,                      0,                 2.6877,                0.51536,             0.00031621,             0.00031621,             0.00031621
                     96,                0.33627,                0.38685,                 1.2712,                0.77679,                0.61835,                0.88239,                0.81036,                0.76878,                0.61835,                0.88239,                0.81036,                0.70459,                0.30588,                      0,                 2.8896,                0.51644,             0.00031071,             0.00031071,             0.00031071
                     97,                0.33334,                 0.3727,                 1.2715,                0.77896,                0.73187,                0.85584,                0.85677,                0.81867,                0.73187,                0.85584,                0.85677,                0.74784,                0.29393,                      0,                 2.6032,                0.51726,             0.00030521,             0.00030521,             0.00030521
                     98,                0.33701,                 0.3838,                 1.2579,                0.78288,                0.75369,                0.85206,                0.88471,                0.83997,                0.75369,                0.85206,                0.88471,                0.76722,                0.29657,                      0,                 2.5931,                0.51568,             0.00029971,             0.00029971,             0.00029971
                     99,                0.33884,                0.37912,                 1.2654,                0.77653,                0.71707,                 0.8522,                0.86842,                0.82421,                0.71707,                 0.8522,                0.86842,                0.75218,                0.29878,                      0,                 2.6739,                0.51536,             0.00029422,             0.00029422,             0.00029422
                    100,                0.34355,                0.36867,                 1.2504,                0.78159,                0.78719,                0.83975,                0.88342,                0.83344,                0.78719,                0.83975,                0.88342,                0.75429,                0.31338,                      0,                 2.6203,                 0.5153,             0.00028872,             0.00028872,             0.00028872
                    101,                0.33591,                  0.359,                 1.2564,                0.77794,                0.77787,                0.84605,                0.88641,                 0.8351,                0.77787,                0.84605,                0.88641,                0.76626,                 0.3051,                      0,                 2.6133,                0.51514,             0.00028322,             0.00028322,             0.00028322
